ResponseId,MainBranch,AISelect,ConvertedCompYearly,WorkExp,YearsCode,Age,DevType,Country,OrgSize,EdLevel,RemoteWork,Employment,treat,log_salary
8,I am a developer by profession,"Yes, I use AI tools daily",72000.0,22.0,30.0,35-44 years old,"Architect, software or solutions",Ukraine,Less than 20 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,Employed,1,11.184421397998193
10,I am a developer by profession,"No, and I don't plan to",5400.0,7.0,10.0,25-34 years old,"Developer, mobile",Ukraine,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,0,8.594154232552366
11,I am a developer by profession,"Yes, I use AI tools daily",65691.0,7.0,9.0,25-34 years old,"Developer, back-end",Ukraine,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.092717208787851
12,I am a developer by profession,"Yes, I use AI tools daily",14400.0,3.0,5.0,18-24 years old,"Developer, back-end",Ukraine,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,9.574983485564092
28,I am a developer by profession,"Yes, I use AI tools daily",209643.0,24.0,36.0,45-54 years old,"Developer, full-stack",Sweden,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,12.253161363059847
30,I am a developer by profession,"Yes, I use AI tools daily",205000.0,19.0,15.0,35-44 years old,"Developer, mobile",United States of America,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,12.230765258120545
32,I am a developer by profession,"No, and I don't plan to",250000.0,17.0,23.0,35-44 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,12.429216196844383
34,I am a developer by profession,"No, and I don't plan to",175000.0,24.0,26.0,45-54 years old,Data engineer,United States of America,"5,000 to 9,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,12.072541252905651
36,I am a developer by profession,"Yes, I use AI tools daily",95132.0,10.0,10.0,25-34 years old,"Developer, back-end",Germany,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.463020679841588
38,I am a developer by profession,"No, and I don't plan to",109000.0,15.0,25.0,35-44 years old,"Developer, full-stack",United States of America,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,0,11.59910316121128
39,I am a developer by profession,"Yes, I use AI tools daily",91215.0,25.0,25.0,45-54 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.42097463622232
41,I am a developer by profession,"Yes, I use AI tools daily",99999.0,33.0,38.0,45-54 years old,"Developer, full-stack",United States of America,500 to 999 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.512915464920228
